id,name,category,median_price,sales_per_day,tier
5ddo,Мякоть куборбуза,supply/medicine,78999.0,83.0,T2 10-100k
dmql9,«Матрос»,other,45000.0,81.79,T2 10-100k
2oddv,«Образец S110»,other,380000.0,80.48,T3 100k-1M
51l0,Харя,artefact/other_arts,102500.0,78.19,T3 100k-1M
21065,Сердце мутанта из Любеча,misc,12999.0,77.98,T2 10-100k
p6rm6,ППШ,weapon/submachine_gun,300000.0,77.93,T3 100k-1M
z77k,Мякоть спиртня,supply/medicine,25499.5,75.33,T2 10-100k
2o4km,«Опаленный»,other,150000.0,75.08,T3 100k-1M
vjpzd,Прицел коллиматорный ПК-01(Т),attachment/collimator_sights,430000.0,74.97,T3 100k-1M
y3mz3,Барабанный магазин ППШ,attachment/mag,179611.0,74.81,T3 100k-1M
y5ro,Яйцо,artefact/other_arts,175000.0,74.05,T3 100k-1M
dm165,Макароны по-флотски,supply/food,22500.0,73.18,T2 10-100k
6w2n6,«Хоккеист»,other,99999.0,70.39,T2 10-100k
mmmk,Сосуд реактора,misc,117450.0,69.46,T3 100k-1M
om6m,Измерительное оборудование,misc,39900.0,69.37,T2 10-100k
1r246,Хорог,supply/food,207500.0,69.24,T3 100k-1M
lyl22,«Погоня»,other,397500.0,66.42,T3 100k-1M
lywmk,Сумка 5.45 «Ши-3»,bullet,21100.0,65.66,T2 10-100k
dmj6j,СВЧ,weapon/sniper_rifle,2950000.0,64.63,T4 1-10M
3gp6g,Планка Пикатинни для Mauser 98k,attachment/forend,35000.0,64.38,T2 10-100k
p6y44,Эргономичный магазин 9x39,attachment/mag,799999.0,64.04,T3 100k-1M
qjrd6,Самодельный ЛЦУ,attachment/other,770000.0,63.28,T3 100k-1M
5drg,Брага,supply/food,72998.0,60.37,T2 10-100k
n4lg6,Пшенка с мясом,supply/food,13665.0,59.89,T2 10-100k
rwol5,Консервированная фасоль,supply/food,14500.0,57.7,T2 10-100k
wjo6z,«Адмирал»,other,90000.0,54.17,T2 10-100k
m0woy,Сумка 7.62 мм «Динозавр»,bullet,25990.0,52.83,T2 10-100k
prm6,Свинец,misc,42000.0,52.69,T2 10-100k
yq3o,Личинка,artefact/other_arts,268885.0,51.9,T3 100k-1M
ok5wm,Эргономичный магазин 5.45,attachment/mag,1225000.0,51.25,T4 1-10M
9n7z,Рубик,artefact/other_arts,173888.5,51.22,T3 100k-1M
vj427,M48 Tomahawk,weapon/melee,370555.5,50.29,T3 100k-1M
pjqvd,Композит «Шепота»,misc,18400.0,49.68,T2 10-100k
6wpz0,Барабанный магазин 5.45 в чехле,attachment/mag,1200000.0,49.33,T4 1-10M
qjwv3,Барабанный магазин AA-12,attachment/mag,783888.5,49.06,T3 100k-1M
vjrqg,«Фриц»,other,93000.0,48.93,T2 10-100k
knqkv,Экзоброня «Альбатрос-Разведчик»,armor/combined,4763850.0,48.88,T4 1-10M
y37j0,«Касатка-1»,other,60000.0,48.88,T2 10-100k
qjl6j,Ящик гранат «Искра»,misc,20450.0,48.85,T2 10-100k
12r1,Рюкзак Errand Junior,backpacks,180000.0,48.69,T3 100k-1M
km6y,Серная соль,misc,16000.0,47.88,T2 10-100k
n4pm9,«Блаженная жатва»,other,199999.5,47.85,T3 100k-1M
5ldgo,«Буксир»,other,45000.0,47.41,T2 10-100k
gdj6,Детектор узкого диапазона «Эльбрус»,weapon/device,21649999.5,46.98,T5 >10M
qjv24,«Запах напалма»,other,89999.5,46.5,T2 10-100k
mmn2,Кровяная сыворотка,misc,69990.0,46.39,T2 10-100k
964z0,Водка «Кривой Коготь»,supply/drink,59999.0,46.31,T2 10-100k
p69k2,Комбинезон «Ганимед»,armor/scientist,6550000.0,46.15,T4 1-10M
wo2d,Хлор,misc,232000.0,46.15,T3 100k-1M
2onz6,РПК-16,weapon/machine_gun,999990.0,46.02,T3 100k-1M
9627w,«Горнило»,other,170000.0,45.97,T3 100k-1M
4q01j,«Посудина»,other,50000.0,45.34,T2 10-100k
j5lol,«Уникальная снежинка»,other,509999.5,45.18,T3 100k-1M
5n51,Порох,misc,69999.0,44.96,T2 10-100k
j5pd0,Ящик гранат «Гром»,misc,32219.5,44.96,T2 10-100k
q2wk,Воздуховод,misc,680000.0,44.94,T3 100k-1M
1r3oq,Отечественный самодельный компенсатор,attachment/barrel,679000.0,44.04,T3 100k-1M
y79w,Медная крошка,misc,20500.0,43.82,T2 10-100k
ly4z2,Прицел оптический Acecare,attachment/collimator_sights,300000.0,43.31,T3 100k-1M
zyqk,Хрусталь,artefact/thermal,67677.0,42.84,T2 10-100k
3g0yl,Сумка патронов 12 калибра «Кислотный дракон»,bullet,23899.0,42.66,T2 10-100k
n4vg6,«Рассол»,supply/drink,37000.0,42.56,T2 10-100k
rwr2z,«Чужая улица»,other,80000.0,42.35,T2 10-100k
2od6m,«Сквид»,other,35000.0,41.77,T2 10-100k
1r3d2,Эргономичный магазин 7.62 NATO,attachment/mag,4550000.0,41.29,T4 1-10M
r2mv,Вино с осадком,supply/drink,26000.0,41.1,T2 10-100k
1r6wq,ZIVCAS Prototype 71790,other,100000.0,41.0,T3 100k-1M
6wrm6,«Непотопляемый»,other,400000.0,40.86,T3 100k-1M
3gkjk,«Мученик»,other,68330.0,40.52,T2 10-100k
zz6m9,«Опричник»,other,30000.0,40.1,T2 10-100k
7l2vr,«Стервятник»,other,46500.0,39.76,T2 10-100k
qj379,«Контуженный»,other,367272.5,39.5,T3 100k-1M
026y,Протромбин,misc,150000.0,39.38,T3 100k-1M
3g12z,Жаркое из мутантов,supply/food,29994.5,39.16,T2 10-100k
wjwzp,Детское шампанское,supply/drink,15000.0,38.58,T2 10-100k
p6r3d,«Излишки»,other,158330.0,38.54,T3 100k-1M
3grr1,«Легат»,other,115000.0,38.48,T3 100k-1M
y32po,Ingram MAC-10,weapon/pistol,170000.0,38.43,T3 100k-1M
w7ro,Мутаген,misc,90000.0,38.0,T2 10-100k
knm0v,СВ-98,weapon/sniper_rifle,2100000.0,37.53,T4 1-10M
jl44,Серная кислота,misc,25000.0,37.3,T2 10-100k
prp5,Очищенный жир,misc,21499.5,37.26,T2 10-100k
okvm5,«Ночная охота»,other,280000.0,36.98,T3 100k-1M
2o65l,Сумка 5.56 мм «Прогрев»,bullet,31100.0,36.67,T2 10-100k
4qzyr,Сумка композитных пластин V,misc,43900.0,36.29,T2 10-100k
0r32k,«Взгляд хищника»,other,250000.0,36.26,T3 100k-1M
knlmj,«Грех»,other,390000.0,36.15,T3 100k-1M
vjy0n,«Шапочка из фольги»,supply/drink,17000.0,36.05,T2 10-100k
m0mo7,ВСК-94,weapon/sniper_rifle,2900000.0,35.99,T4 1-10M
qokj,Тыква,artefact/gravity,285000.0,35.64,T3 100k-1M
n4691,Сумка 9x39 мм «Электросвинг»,bullet,19980.0,35.56,T2 10-100k
km9v,Коагулянт,misc,33000.0,35.02,T2 10-100k
zymn,Смалец,artefact/other_arts,79500.0,34.92,T2 10-100k
l362,Контейнер «КРАБ-6»,containers,9000000.0,34.88,T4 1-10M
zj1k,Контейнер «Кега»,containers,625000.0,34.81,T3 100k-1M
2ogkl,«Волнорез»,other,5000000.0,34.78,T4 1-10M
